,dataset,rewiring,num_iterations,brf_batch_add,brf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,cora,brf,3,20,10,0.864778597785978,0.002702203213530387,175.12076878547668,0.0004222393035888672
0,citeseer,brf,3,20,10,0.7242792792792793,0.0032317265771228086,164.47374606132507,0.0004420280456542969
0,texas,brf,3,30,10,0.4472972972972973,0.015123064684905707,136.70265102386475,0.0003998279571533203
0,cornell,brf,2,20,30,0.4554054054054055,0.01625895269480544,166.60883140563965,0.00039839744567871094
0,wisconsin,brf,2,30,20,0.44803921568627453,0.014316411244134752,134.24319052696228,0.00042057037353515625
